SHEHIA,MdnTrCv,PrcBldC,Bushbaby,Vervet.Monkey,Bats,Hyrax,Rats.Mice,Small.Cats,Large.Cats,Shrews,Elephant.Shrews,Blue.Monkey,Red.Colobus,Pouched.Rat,Mongoose.B.T,Mongoose.Slender,Mongoose.Banded,Genet,African.Civet,Bushpig,Duiker.Aders,Duiker.Blue,Duiker.Suni,Zanj.Sun.Squirrel,Red.Bush.Squirrel,biodiversity
Masingini,80,9.441391885,3,0,3,0,3,0,0,2,0,0,0,3,0,2,0,0,1,0,2,2,2,3,2,12
Masumbani,0,39.3060186,,,,,,,,,,,,,,,,,,,,,,,,
Matarumbeta,0,33.81617837,,,,,,,,,,,,,,,,,,,,,,,,
MatemweKaskazini,0,1.399566324,3,0,3,0,3,0,0,1,1,0,0,3,1,1,1,0,0,0,0,0,0,3,1,11
MatemweKusini,0,0.723498257,2,0,3,0,3,0,0,3,3,0,0,3,3,3,3,0,0,0,0,0,0,3,2,11
Matetema,0,3.596316207,2,0,2,0,2,1,1,2,0,0,0,2,2,2,2,1,1,0,0,0,0,2,2,14
Maungani,40,7.508121179,3,0,3,0,3,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,3,1,10
Mbaleni,60,0.451216463,3,0,3,0,3,0,0,1,0,0,0,3,1,1,1,0,1,0,0,0,0,2,1,11
Mboriborini,0,56.31781343,,,,,,,,,,,,,,,,,,,,,,,,
Mbuyutende,0,0.830693962,0,0,2,0,3,0,0,2,2,0,0,3,2,2,2,0,0,0,2,2,0,3,2,12
Mbuzini,50,8.735078085,3,0,3,0,3,0,0,1,0,0,0,3,2,2,2,0,1,0,0,0,0,3,1,11
Mbweni,40,16.61255019,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Mchangani,50,1.420337598,3,0,3,0,3,0,0,3,1,0,0,3,3,3,3,0,2,0,0,0,0,3,3,12
MchanganiMjini,0,44.00164394,,,,,,,,,,,,,,,,,,,,,,,,
Mchezashauri,70,1.899688487,,,,,,,,,,,,,,,,,,,,,,,,
Mchikichini,40,23.64995957,,,,,,,,,,,,,,,,,,,,,,,,
Melinne,,48.74235144,,,,,,,,,,,,,,,,,,,,,,,,
Meya,0,47.48697478,,,,,,,,,,,,,,,,,,,,,,,,
Mfenesini,30,6.080445129,3,0,3,0,3,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,3,1,8
Mgambo,50,0.614965837,3,0,3,0,3,2,0,3,0,0,2,3,3,3,3,2,3,1,3,3,3,3,3,18
Mgenihaji,90,1.309883332,3,0,3,0,3,0,0,2,0,0,0,3,2,2,2,0,2,0,0,0,0,3,2,11
Mgenihaji,90,1.309883332,3,0,3,0,3,0,0,2,0,0,0,3,2,2,2,0,2,0,0,0,0,3,2,11
Michamvi,70,1.141859376,2,3,2,0,3,0,0,0,3,0,2,2,3,3,3,0,1,1,2,2,2,3,0,16
Michamvi,70,1.141859376,2,3,2,0,3,0,0,0,3,0,2,2,3,3,3,0,1,1,2,2,2,3,0,16
Michamvi,70,1.141859376,2,3,2,0,3,0,0,0,3,0,2,2,3,3,3,0,1,1,2,2,2,3,0,16
Michungwani,0,17.09855404,,,,,,,,,,,,,,,,,,,,,,,,
Miembeni,40,25.30174761,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Migombani,70,11.68049086,2,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,6
Mikarafuuni,,38.78538796,,,,,,,,,,,,,,,,,,,,,,,,
Mikunguni,0,44.3380593,,,,,,,,,,,,,,,,,,,,,,,,
Misufini,20,1.935697758,3,0,3,0,3,3,0,2,2,2,3,3,3,3,3,3,2,0,3,3,0,3,3,18
Mitakawani,90,1.613655008,,,,,,,,,,,,,,,,,,,,,,,,
Mitakawani,90,1.613655008,,,,,,,,,,,,,,,,,,,,,,,,
Mitiulaya,0,46.59890031,,,,,,,,,,,,,,,,,,,,,,,,
Miwani,60,0.880693874,3,0,3,0,3,0,0,2,0,0,0,3,2,2,2,0,0,0,0,0,0,3,2,10
Miwani,60,0.880693874,3,0,3,0,3,0,0,2,0,0,0,3,2,2,2,0,0,0,0,0,0,3,2,10
Mkadini,50,7.33383109,3,0,3,0,3,0,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0,3,2,9
Mkataleni,0,3.156748137,3,0,3,0,3,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,10
Mkele,0,36.48829695,,,,,,,,,,,,,,,,,,,,,,,,
Mkokotoni,60,2.928503862,3,2,2,0,3,0,0,2,2,0,1,3,2,0,2,0,1,0,0,0,0,2,0,12
Mkunazini,30,26.70680574,,,,,,,,,,,,,,,,,,,,,,,,
Mkwajuni,50,4.321573071,3,0,3,0,3,0,0,2,0,0,0,3,3,3,3,0,0,0,0,0,0,3,3,10
Mlandege,0,40.96062234,,,,,,,,,,,,,,,,,,,,,,,,
Mnarani,0,36.49758235,2,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
MnaziMmoja,40,10.9322327,,,,,,,,,,,,,,,,,,,,,,,,
Mnyimbi,0,1.13359059,3,2,3,0,3,3,0,3,0,0,0,3,3,3,3,3,2,0,0,0,0,3,2,14
Moga,50,1.813826501,3,0,3,0,3,2,0,2,0,0,0,3,2,2,0,2,2,0,2,2,2,2,2,15
